timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
9/11/2025 11:10,France_level_4_final,k-Nearest Neighbors,Month+1,0.12,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.947,0.78,1,0.846,0.97,0.959,2208,6964,624,0
9/11/2025 11:10,France_level_4_final,k-Nearest Neighbors,Month+2,0.12,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.932,0.735,0.999,0.813,0.966,0.95,2116,6915,762,3
9/11/2025 11:10,France_level_4_final,k-Nearest Neighbors,Month+3,0.12,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.905,0.683,0.985,0.765,0.954,0.932,2027,6798,940,31
9/11/2025 11:10,France_level_4_final,k-Nearest Neighbors,Month+4,0.12,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.875,0.64,0.963,0.72,0.936,0.911,1948,6680,1094,74
9/11/2025 11:10,France_level_4_final,k-Nearest Neighbors,Month+5,0.12,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.843,0.604,0.935,0.674,0.914,0.889,1866,6577,1223,130
9/11/2025 11:10,France_level_4_final,k-Nearest Neighbors,Month+6,0.25,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.829,0.638,0.896,0.683,0.896,0.884,1770,6815,1006,205
9/11/2025 12:34,France_level_4_final,SVC (RBF Kernel),Month+1,0.05,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.964,0.844,1,0.894,0.991,0.973,2208,7180,408,0
9/11/2025 12:34,France_level_4_final,SVC (RBF Kernel),Month+2,0.05,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.954,0.81,0.999,0.869,0.981,0.967,2116,7180,497,3
9/11/2025 12:34,France_level_4_final,SVC (RBF Kernel),Month+3,0.05,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.935,0.779,0.984,0.839,0.966,0.955,2025,7163,575,33
9/11/2025 12:34,France_level_4_final,SVC (RBF Kernel),Month+4,0.07,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.914,0.754,0.966,0.811,0.952,0.942,1953,7136,638,69
9/11/2025 12:34,France_level_4_final,SVC (RBF Kernel),Month+5,0.1,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.884,0.719,0.937,0.769,0.939,0.922,1871,7068,732,125
9/11/2025 12:34,France_level_4_final,SVC (RBF Kernel),Month+6,0.21,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.847,0.693,0.897,0.728,0.93,0.898,1771,7037,784,204
9/11/2025 12:35,France_level_4_final,XGBoost,Month+1,0.22,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.965,0.848,1,0.896,0.993,0.974,2208,7191,397,0
9/11/2025 12:35,France_level_4_final,XGBoost,Month+2,0.24,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.946,0.781,0.999,0.848,0.985,0.961,2116,7082,595,3
