timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
10/1/2025 9:58,France_level_2_final,k-Nearest Neighbors,Month+1,0.5,1/1/2005,12/31/2024,1/1/2022,0.931,0.729,1,0.626,0.817,0.769,180,78,67,0
10/1/2025 9:58,France_level_2_final,k-Nearest Neighbors,Month+2,0.5,1/1/2005,12/31/2024,1/1/2022,0.909,0.688,0.988,0.567,0.794,0.743,170,76,77,2
10/1/2025 9:58,France_level_2_final,k-Nearest Neighbors,Month+3,0.5,1/1/2005,12/31/2024,1/1/2022,0.887,0.66,0.97,0.509,0.769,0.718,163,73,84,5
10/1/2025 9:58,France_level_2_final,k-Nearest Neighbors,Month+4,0.5,1/1/2005,12/31/2024,1/1/2022,0.874,0.648,0.958,0.477,0.74,0.704,160,71,87,7
10/1/2025 9:58,France_level_2_final,k-Nearest Neighbors,Month+5,0.5,1/1/2005,12/31/2024,1/1/2022,0.863,0.64,0.946,0.448,0.711,0.691,158,69,89,9
10/1/2025 9:58,France_level_2_final,k-Nearest Neighbors,Month+6,0.5,1/1/2005,12/31/2024,1/1/2022,0.849,0.632,0.929,0.408,0.687,0.674,156,66,91,12
10/1/2025 9:58,France_level_2_final,SVC (RBF Kernel),Month+1,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.951,0.796,1,0.737,0.95,0.841,180,99,46,0
10/1/2025 9:58,France_level_2_final,SVC (RBF Kernel),Month+2,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.929,0.749,0.988,0.67,0.932,0.808,170,96,57,2
10/1/2025 9:58,France_level_2_final,SVC (RBF Kernel),Month+3,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.889,0.702,0.952,0.567,0.878,0.76,160,89,68,8
10/1/2025 9:58,France_level_2_final,SVC (RBF Kernel),Month+4,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.848,0.654,0.916,0.449,0.815,0.702,153,77,81,14
10/1/2025 9:58,France_level_2_final,SVC (RBF Kernel),Month+5,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.829,0.633,0.898,0.391,0.764,0.674,150,71,87,17
10/1/2025 9:58,France_level_2_final,SVC (RBF Kernel),Month+6,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.813,0.622,0.881,0.347,0.713,0.654,148,67,90,20
10/1/2025 9:58,France_level_2_final,XGBoost,Month+1,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.979,0.905,1,0.887,0.968,0.934,180,126,19,0
10/1/2025 9:58,France_level_2_final,XGBoost,Month+2,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.95,0.821,0.988,0.775,0.939,0.873,170,116,37,2
10/1/2025 9:58,France_level_2_final,XGBoost,Month+3,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.908,0.766,0.952,0.668,0.855,0.82,160,108,49,8
10/1/2025 9:58,France_level_2_final,XGBoost,Month+4,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.883,0.726,0.934,0.592,0.817,0.78,156,99,59,11
10/1/2025 9:58,France_level_2_final,XGBoost,Month+5,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.883,0.685,0.952,0.542,0.748,0.745,159,85,73,8
10/1/2025 9:58,France_level_2_final,XGBoost,Month+6,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.881,0.665,0.958,0.507,0.693,0.721,161,76,81,7
10/1/2025 9:58,France_level_2_final,Logistic Regression,Month+1,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.964,0.841,1,0.802,0.939,0.883,180,111,34,0
10/1/2025 9:58,France_level_2_final,Logistic Regression,Month+2,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.936,0.773,0.988,0.706,0.889,0.831,170,103,50,2
10/1/2025 9:58,France_level_2_final,Logistic Regression,Month+3,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.9,0.737,0.952,0.625,0.824,0.795,160,100,57,8
10/1/2025 9:58,France_level_2_final,Logistic Regression,Month+4,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.864,0.705,0.916,0.542,0.757,0.756,153,94,64,14
10/1/2025 9:58,France_level_2_final,Logistic Regression,Month+5,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.849,0.657,0.916,0.455,0.725,0.705,153,78,80,14
10/1/2025 9:58,France_level_2_final,Logistic Regression,Month+6,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.841,0.62,0.923,0.377,0.682,0.659,155,62,95,13
10/1/2025 9:58,France_level_2_final,Gradient Boosting,Month+1,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.98,0.947,0.989,0.926,0.965,0.96,178,135,10,2
10/1/2025 9:58,France_level_2_final,Gradient Boosting,Month+2,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.948,0.848,0.977,0.799,0.917,0.89,168,123,30,4
10/1/2025 9:58,France_level_2_final,Gradient Boosting,Month+3,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.918,0.804,0.952,0.722,0.89,0.852,160,118,39,8
10/1/2025 9:58,France_level_2_final,Gradient Boosting,Month+4,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.862,0.743,0.898,0.586,0.811,0.785,150,106,52,17
10/1/2025 9:58,France_level_2_final,Gradient Boosting,Month+5,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.811,0.718,0.838,0.5,0.76,0.745,140,103,55,27
10/1/2025 9:58,France_level_2_final,Gradient Boosting,Month+6,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.747,0.657,0.774,0.349,0.696,0.67,130,89,68,38
10/1/2025 9:58,France_level_2_final,AdaBoost,Month+1,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.987,0.938,1,0.927,0.971,0.959,180,133,12,0
10/1/2025 9:58,France_level_2_final,AdaBoost,Month+2,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.967,0.89,0.988,0.863,0.933,0.926,170,132,21,2
10/1/2025 9:58,France_level_2_final,AdaBoost,Month+3,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.924,0.825,0.952,0.75,0.888,0.868,160,123,34,8
10/1/2025 9:58,France_level_2_final,AdaBoost,Month+4,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.873,0.785,0.898,0.649,0.834,0.819,150,117,41,17
10/1/2025 9:58,France_level_2_final,AdaBoost,Month+5,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.824,0.732,0.85,0.531,0.776,0.761,142,106,52,25
10/1/2025 9:58,France_level_2_final,AdaBoost,Month+6,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.786,0.688,0.815,0.431,0.711,0.71,137,95,62,31
10/1/2025 9:58,France_level_2_final,Hist Gradient Boosting,Month+1,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.989,0.947,1,0.939,0.965,0.966,180,135,10,0
10/1/2025 9:58,France_level_2_final,Hist Gradient Boosting,Month+2,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.967,0.89,0.988,0.863,0.92,0.926,170,132,21,2
10/1/2025 9:58,France_level_2_final,Hist Gradient Boosting,Month+3,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.926,0.833,0.952,0.761,0.868,0.874,160,125,32,8
10/1/2025 9:58,France_level_2_final,Hist Gradient Boosting,Month+4,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.874,0.789,0.898,0.654,0.825,0.823,150,118,40,17
10/1/2025 9:58,France_level_2_final,Hist Gradient Boosting,Month+5,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.815,0.733,0.838,0.523,0.757,0.758,140,107,51,27
10/1/2025 9:58,France_level_2_final,Hist Gradient Boosting,Month+6,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.759,0.686,0.78,0.404,0.71,0.699,131,97,60,37
10/1/2025 9:58,France_level_2_final,CatBoost,Month+1,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.985,0.928,1,0.916,0.963,0.952,180,131,14,0
10/1/2025 9:58,France_level_2_final,CatBoost,Month+2,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.953,0.833,0.988,0.791,0.907,0.883,170,119,34,2
10/1/2025 9:58,France_level_2_final,CatBoost,Month+3,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.909,0.769,0.952,0.673,0.843,0.823,160,109,48,8
10/1/2025 9:58,France_level_2_final,CatBoost,Month+4,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.858,0.728,0.898,0.564,0.793,0.772,150,102,56,17
10/1/2025 9:58,France_level_2_final,CatBoost,Month+5,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.799,0.673,0.838,0.425,0.738,0.704,140,90,68,27
10/1/2025 9:58,France_level_2_final,CatBoost,Month+6,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.777,0.639,0.821,0.344,0.676,0.662,138,79,78,30
10/1/2025 9:58,France_level_2_final,LightGBM,Month+1,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.989,0.947,1,0.939,0.969,0.966,180,135,10,0
10/1/2025 9:58,France_level_2_final,LightGBM,Month+2,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.958,0.854,0.988,0.818,0.918,0.899,170,124,29,2
10/1/2025 9:58,France_level_2_final,LightGBM,Month+3,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.916,0.796,0.952,0.711,0.865,0.846,160,116,41,8
10/1/2025 9:58,France_level_2_final,LightGBM,Month+4,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.863,0.746,0.898,0.592,0.788,0.788,150,107,51,17
10/1/2025 9:58,France_level_2_final,LightGBM,Month+5,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.813,0.725,0.838,0.512,0.742,0.751,140,105,53,27
10/1/2025 9:58,France_level_2_final,LightGBM,Month+6,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.758,0.682,0.78,0.398,0.681,0.696,131,96,61,37
10/1/2025 9:58,France_level_2_final,Balanced Random Forest,Month+1,0.5,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.955,0.811,1,0.759,0.96,0.855,180,103,42,0
