timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-09-11 11:46:54,France_level_1_final,k-Nearest Neighbors,Month+1,0.62,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.952,0.8,1.0,0.338,0.741,0.571,24,1,6,0
2025-09-11 11:46:54,France_level_1_final,k-Nearest Neighbors,Month+2,0.6,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.913,0.767,0.958,-0.099,0.699,0.479,23,0,7,1
2025-09-11 11:46:54,France_level_1_final,k-Nearest Neighbors,Month+3,0.6,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.913,0.767,0.958,-0.099,0.64,0.479,23,0,7,1
2025-09-11 11:46:54,France_level_1_final,k-Nearest Neighbors,Month+4,0.6,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.913,0.767,0.958,-0.099,0.58,0.479,23,0,7,1
2025-09-11 11:46:54,France_level_1_final,k-Nearest Neighbors,Month+5,0.6,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.913,0.767,0.958,-0.099,0.452,0.479,23,0,7,1
2025-09-11 11:46:54,France_level_1_final,k-Nearest Neighbors,Month+6,0.6,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.913,0.767,0.958,-0.099,0.348,0.479,23,0,7,1
2025-09-11 11:46:54,France_level_1_final,SVC (RBF Kernel),Month+1,0.92,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.902,0.846,0.917,0.392,0.732,0.673,22,3,4,2
2025-09-11 11:46:54,France_level_1_final,SVC (RBF Kernel),Month+2,0.9,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.935,0.852,0.958,0.483,0.619,0.693,23,3,4,1
2025-09-11 11:46:54,France_level_1_final,SVC (RBF Kernel),Month+3,0.9,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.894,0.815,0.917,0.252,0.518,0.601,22,2,5,2
2025-09-11 11:46:54,France_level_1_final,SVC (RBF Kernel),Month+4,0.89,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.854,0.778,0.875,0.022,0.405,0.509,21,1,6,3
2025-09-11 11:46:54,France_level_1_final,SVC (RBF Kernel),Month+5,0.87,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.82,0.769,0.833,-0.027,0.292,0.488,20,1,6,4
2025-09-11 11:46:54,France_level_1_final,SVC (RBF Kernel),Month+6,0.85,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.813,0.741,0.833,-0.208,0.214,0.417,20,0,7,4
2025-09-11 11:46:57,France_level_1_final,XGBoost,Month+1,0.95,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.984,0.923,1.0,0.812,0.905,0.857,24,5,2,0
2025-09-11 11:46:57,France_level_1_final,XGBoost,Month+2,0.95,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.935,0.852,0.958,0.483,0.744,0.693,23,3,4,1
2025-09-11 11:46:57,France_level_1_final,XGBoost,Month+3,0.95,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.894,0.815,0.917,0.252,0.595,0.601,22,2,5,2
