timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
9/11/2025 11:49,France_level_2_final,k-Nearest Neighbors,Month+1,0.42,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.946,0.779,1,0.674,0.836,0.791,240,95,68,0
9/11/2025 11:49,France_level_2_final,k-Nearest Neighbors,Month+2,0.54,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.932,0.752,0.991,0.632,0.816,0.773,230,95,76,2
9/11/2025 11:49,France_level_2_final,k-Nearest Neighbors,Month+3,0.54,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.915,0.729,0.978,0.584,0.792,0.752,223,92,83,5
9/11/2025 11:49,France_level_2_final,k-Nearest Neighbors,Month+4,0.54,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.902,0.716,0.965,0.546,0.764,0.735,219,89,87,8
9/11/2025 11:49,France_level_2_final,k-Nearest Neighbors,Month+5,0.54,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.894,0.709,0.956,0.522,0.737,0.725,217,87,89,10
9/11/2025 11:49,France_level_2_final,k-Nearest Neighbors,Month+6,0.54,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.883,0.703,0.943,0.49,0.719,0.711,215,84,91,13
9/11/2025 11:49,France_level_2_final,SVC (RBF Kernel),Month+1,0.86,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.976,0.889,1,0.852,0.948,0.908,240,133,30,0
9/11/2025 11:49,France_level_2_final,SVC (RBF Kernel),Month+2,0.82,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.958,0.842,0.991,0.782,0.926,0.87,230,128,43,2
9/11/2025 11:49,France_level_2_final,SVC (RBF Kernel),Month+3,0.79,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.927,0.8,0.965,0.693,0.877,0.825,220,120,55,8
9/11/2025 11:49,France_level_2_final,SVC (RBF Kernel),Month+4,0.78,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.886,0.758,0.925,0.582,0.822,0.772,210,109,67,17
9/11/2025 11:49,France_level_2_final,SVC (RBF Kernel),Month+5,0.77,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.853,0.72,0.894,0.482,0.774,0.723,203,97,79,24
9/11/2025 11:49,France_level_2_final,SVC (RBF Kernel),Month+6,0.75,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.828,0.697,0.868,0.41,0.727,0.688,198,89,86,30
9/11/2025 11:49,France_level_2_final,XGBoost,Month+1,0.85,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.992,0.96,1,0.949,0.965,0.969,240,153,10,0
9/11/2025 11:49,France_level_2_final,XGBoost,Month+2,0.76,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.969,0.888,0.991,0.848,0.926,0.911,230,142,29,2
9/11/2025 11:49,France_level_2_final,XGBoost,Month+3,0.47,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.929,0.809,0.965,0.707,0.891,0.834,220,123,52,8
9/11/2025 11:49,France_level_2_final,XGBoost,Month+4,0.53,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.911,0.79,0.947,0.66,0.837,0.812,215,119,57,12
9/11/2025 11:49,France_level_2_final,XGBoost,Month+5,0.85,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.876,0.794,0.899,0.617,0.778,0.799,204,123,53,23
9/11/2025 11:49,France_level_2_final,XGBoost,Month+6,0.73,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.907,0.752,0.956,0.601,0.724,0.772,218,103,72,10
9/11/2025 11:50,France_level_2_final,Logistic Regression,Month+1,0.76,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.979,0.916,0.996,0.884,0.943,0.93,239,141,22,1
9/11/2025 11:50,France_level_2_final,Logistic Regression,Month+2,0.63,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.96,0.852,0.991,0.796,0.893,0.879,230,131,40,2
9/11/2025 11:50,France_level_2_final,Logistic Regression,Month+3,0.69,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.934,0.827,0.965,0.735,0.833,0.851,220,129,46,8
9/11/2025 11:50,France_level_2_final,Logistic Regression,Month+4,0.76,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.893,0.798,0.921,0.644,0.77,0.81,209,123,53,18
