timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-11-20 11:57:47,France_level_2_final,k-Nearest Neighbors,Month+1,0.5,2005-01-01,2024-12-31,2022-01-01,0.956,0.814,1.0,0.764,0.872,0.859,180,104,41,0
2025-11-20 11:57:47,France_level_2_final,k-Nearest Neighbors,Month+2,0.5,2005-01-01,2024-12-31,2022-01-01,0.935,0.769,0.988,0.701,0.843,0.828,170,102,51,2
2025-11-20 11:57:47,France_level_2_final,k-Nearest Neighbors,Month+3,0.5,2005-01-01,2024-12-31,2022-01-01,0.896,0.724,0.952,0.604,0.8,0.782,160,96,61,8
2025-11-20 11:57:47,France_level_2_final,k-Nearest Neighbors,Month+4,0.5,2005-01-01,2024-12-31,2022-01-01,0.844,0.679,0.898,0.481,0.744,0.724,150,87,71,17
2025-11-20 11:57:47,France_level_2_final,k-Nearest Neighbors,Month+5,0.5,2005-01-01,2024-12-31,2022-01-01,0.793,0.638,0.844,0.362,0.694,0.669,141,78,80,26
2025-11-20 11:57:47,France_level_2_final,k-Nearest Neighbors,Month+6,0.5,2005-01-01,2024-12-31,2022-01-01,0.756,0.611,0.804,0.274,0.647,0.628,135,71,86,33
2025-11-20 11:57:52,France_level_2_final,SVC (RBF Kernel),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.966,0.849,1.0,0.813,0.933,0.89,180,113,32,0
2025-11-20 11:57:52,France_level_2_final,SVC (RBF Kernel),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.944,0.802,0.988,0.748,0.885,0.857,170,111,42,2
2025-11-20 11:57:52,France_level_2_final,SVC (RBF Kernel),Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.904,0.751,0.952,0.646,0.839,0.807,160,104,53,8
2025-11-20 11:57:52,France_level_2_final,SVC (RBF Kernel),Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.852,0.708,0.898,0.531,0.784,0.753,150,96,62,17
2025-11-20 11:57:52,France_level_2_final,SVC (RBF Kernel),Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.795,0.66,0.838,0.402,0.729,0.691,140,86,72,27
2025-11-20 11:57:52,France_level_2_final,SVC (RBF Kernel),Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.74,0.615,0.78,0.271,0.671,0.629,131,75,82,37
2025-11-20 11:57:55,France_level_2_final,Logistic Regression,Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.978,0.9,1.0,0.881,0.918,0.931,180,125,20,0
2025-11-20 11:57:55,France_level_2_final,Logistic Regression,Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.957,0.85,0.988,0.813,0.866,0.896,170,123,30,2
2025-11-20 11:57:55,France_level_2_final,Logistic Regression,Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.917,0.8,0.952,0.717,0.82,0.849,160,117,40,8
2025-11-20 11:57:55,France_level_2_final,Logistic Regression,Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.864,0.75,0.898,0.598,0.78,0.791,150,108,50,17
2025-11-20 11:57:55,France_level_2_final,Logistic Regression,Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.806,0.7,0.838,0.471,0.743,0.729,140,98,60,27
2025-11-20 11:57:55,France_level_2_final,Logistic Regression,Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.758,0.649,0.792,0.345,0.694,0.667,133,85,72,35
2025-11-20 11:57:55,France_level_2_final,Linear SVM (Calibrated),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.978,0.9,1.0,0.881,0.934,0.931,180,125,20,0
2025-11-20 11:57:55,France_level_2_final,Linear SVM (Calibrated),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.957,0.85,0.988,0.813,0.878,0.896,170,123,30,2
