timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-11-18 14:28:03,Italy_level_2_final,k-Nearest Neighbors,Month+1,0.5,2005-01-01,2024-12-31,2022-01-01,0.809,0.745,0.826,0.762,0.944,0.899,38,441,13,8
2025-11-18 14:28:03,Italy_level_2_final,k-Nearest Neighbors,Month+2,0.5,2005-01-01,2024-12-31,2022-01-01,0.735,0.7,0.745,0.692,0.902,0.856,35,438,15,12
2025-11-18 14:28:03,Italy_level_2_final,k-Nearest Neighbors,Month+3,0.5,2005-01-01,2024-12-31,2022-01-01,0.627,0.702,0.611,0.617,0.819,0.79,33,432,14,21
2025-11-18 14:28:03,Italy_level_2_final,k-Nearest Neighbors,Month+4,0.5,2005-01-01,2024-12-31,2022-01-01,0.598,0.66,0.585,0.579,0.791,0.775,31,431,16,22
2025-11-18 14:28:03,Italy_level_2_final,k-Nearest Neighbors,Month+5,0.5,2005-01-01,2024-12-31,2022-01-01,0.569,0.617,0.558,0.541,0.761,0.759,29,430,18,23
2025-11-18 14:28:03,Italy_level_2_final,k-Nearest Neighbors,Month+6,0.5,2005-01-01,2024-12-31,2022-01-01,0.547,0.574,0.54,0.509,0.741,0.748,27,430,20,23
2025-11-18 14:28:08,Italy_level_2_final,SVC (RBF Kernel),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.83,0.844,0.826,0.819,0.988,0.905,38,447,7,8
2025-11-18 14:28:08,Italy_level_2_final,SVC (RBF Kernel),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.748,0.761,0.745,0.727,0.951,0.86,35,442,11,12
2025-11-18 14:28:08,Italy_level_2_final,SVC (RBF Kernel),Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.63,0.717,0.611,0.625,0.887,0.791,33,433,13,21
2025-11-18 14:28:08,Italy_level_2_final,SVC (RBF Kernel),Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.601,0.674,0.585,0.587,0.862,0.776,31,432,15,22
2025-11-18 14:28:08,Italy_level_2_final,SVC (RBF Kernel),Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.569,0.617,0.558,0.541,0.848,0.759,29,430,18,23
2025-11-18 14:28:08,Italy_level_2_final,SVC (RBF Kernel),Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.56,0.56,0.56,0.511,0.835,0.756,28,428,22,22
2025-11-18 14:29:38,Italy_level_2_final,Logistic Regression,Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.919,0.86,0.935,0.886,0.99,0.96,43,447,7,3
2025-11-18 14:29:38,Italy_level_2_final,Logistic Regression,Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.826,0.741,0.851,0.771,0.932,0.91,40,439,14,7
2025-11-18 14:29:38,Italy_level_2_final,Logistic Regression,Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.709,0.661,0.722,0.652,0.855,0.839,39,426,20,15
2025-11-18 14:29:38,Italy_level_2_final,Logistic Regression,Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.686,0.585,0.717,0.601,0.848,0.828,38,420,27,15
2025-11-18 14:29:38,Italy_level_2_final,Logistic Regression,Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.642,0.463,0.712,0.513,0.813,0.808,37,405,43,15
2025-11-18 14:29:38,Italy_level_2_final,Logistic Regression,Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.587,0.357,0.7,0.423,0.803,0.78,35,387,63,15
2025-11-18 14:30:28,Italy_level_2_final,Linear SVM (Calibrated),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.905,0.875,0.913,0.883,0.99,0.95,42,448,6,4
2025-11-18 14:30:28,Italy_level_2_final,Linear SVM (Calibrated),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.826,0.812,0.83,0.802,0.931,0.905,39,444,9,8
2025-11-18 14:30:28,Italy_level_2_final,Linear SVM (Calibrated),Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.663,0.729,0.648,0.652,0.83,0.81,35,433,13,19
2025-11-18 14:30:28,Italy_level_2_final,Linear SVM (Calibrated),Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.598,0.66,0.585,0.579,0.817,0.775,31,431,16,22
2025-11-18 14:30:28,Italy_level_2_final,Linear SVM (Calibrated),Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.536,0.614,0.519,0.519,0.783,0.741,27,431,17,25
