iter	Passed	Remaining
0	16	323311	30	30112	64	4215
3	79	3916
4	97	3818
5	114	3698
6	129	3577
7	143	3447
8	162	3450
9	179	3402
10	194	3343
11	210	3304
12	224	3233
13	241	3207
14	258	3184
15	267	3072
16	284	3064
17	301	3049
18	322	3067
19	342	3086
20	362	3088
21	382	3095
22	402	3093
23	421	3089
24	439	3079
25	458	3069
26	476	3052
27	496	3047
28	516	3044
29	535	3033
30	551	3008
31	571	3001
32	591	2995
33	608	2971
34	623	2940
35	640	2919
36	656	2892
37	672	2866
38	686	2835
39	704	2817
40	721	2799
41	740	2786
42	759	2773
43	780	2768
44	799	2754
45	819	2743
46	838	2728
47	857	2716
48	875	2699
49	897	2691
50	915	2676
51	934	2659
52	953	2644
53	973	2632
54	990	2612
55	1008	2592
56	1027	2578
57	1047	2565
58	1065	2546
59	1083	2528
60	1104	2516
61	1124	2503
62	1140	2480
63	1159	2464
64	1180	2451
65	1200	2436
66	1216	2414
67	1237	2401
68	1256	2384
69	1273	2364
70	1292	2348
71	1329	2364
72	1346	2342
73	1365	2324
74	1381	2302
75	1395	2277
76	1416	2262
77	1432	2241
78	1451	2222
79	1470	2205
80	1490	2190
81	1507	2169
82	1526	2151
83	1542	2130
84	1560	2111
85	1580	2094
86	1596	2074
87	1612	2052
88	1629	2032
89	1645	2010
90	1664	1993
91	1682	1975
92	1701	1958
93	1720	1940
94	1738	1920
95	1757	1903
96	1775	1885
97	1793	1866
98	1810	1847
99	1829	1829
100	1846	1810
101	1865	1792
102	1883	1773
103	1902	1755
104	1924	1741
105	1944	1724
106	1965	1708
107	1982	1688
108	2001	1671
109	2022	1654
110	2042	1637
111	2058	1617
112	2071	1594
113	2086	1574
114	2103	1554
115	2121	1536
116	2139	1517
117	2158	1499
118	2174	1480
119	2192	1461
120	2209	1442
121	2228	1424
122	2247	1407
123	2267	1389
124	2289	1373
125	2309	1356
126	2330	1339
127	2349	1321
128	2369	1304
129	2389	1286
130	2409	1269
131	2428	1250
132	2445	1231
133	2464	1213
134	2483	1195
135	2498	1175
136	2513	1155
137	2529	1136
138	2546	1117
139	2566	1099
140	2585	1081
141	2608	1065
142	2629	1048
143	2648	1029
144	2664	1010
145	2681	991
146	2698	972
147	2715	954
148	2735	936
149	2752	917
150	2768	898
151	2785	879
152	2806	862
153	2824	843
154	2840	824
155	2857	806
156	2875	787
157	2896	769
158	2913	751
159	2930	732
160	2948	714
161	2967	695
162	2985	677
163	2999	658
164	3016	639
165	3030	620
166	3046	602
167	3065	583
168	3082	565
169	3100	547
170	3134	531
171	3152	513
172	3174	495
173	3194	477
174	3215	459
175	3232	440
176	3245	421
177	3257	402
178	3267	383
179	3277	364
180	3287	345
181	3297	326
182	3306	307
183	3317	288
184	3327	269
185	3335	251
186	3343	232
187	3352	213
188	3360	195
189	3365	177
190	3371	158
191	3376	140
192	3382	122
193	3387	104
194	3392	86
195	3398	69
196	3403	51
197	3409	34
198	3414	17
199	3420	0
0
	0
