time,area_name,lat,lon,rr,spatial_ref,hu,qq,tg,tx,tn,fg,outbreak,cases
2000-01-01,Greece,38.26671054,24.43988823,894.9162,0,72.4985,87.93957,1.447555,5.8356643,-2.5233223,1.6862433,0,0.0
2000-02-01,Greece,38.26671054,24.43988823,2133.4138,0,73.71595,118.627655,5.3407707,9.477549,1.3872387,2.1849577,0,0.0
2000-03-01,Greece,38.26671054,24.43988823,762.0581,0,67.256836,180.59799,7.498995,12.858944,1.8666197,2.259225,0,0.0
2000-04-01,Greece,38.26671054,24.43988823,863.42,0,67.97598,198.34927,13.443352,18.461391,8.017748,2.4898927,0,0.0
2000-05-01,Greece,38.26671054,24.43988823,515.82904,0,61.61078,260.30734,17.66265,22.907104,10.953947,2.2288692,0,0.0
2000-06-01,Greece,38.26671054,24.43988823,470.55334,0,52.459652,282.17297,21.925152,27.285559,14.33278,2.4154756,0,0.0
2000-07-01,Greece,38.26671054,24.43988823,96.63871,0,49.61865,311.80603,25.060808,31.01644,16.744976,2.488361,0,0.0
2000-08-01,Greece,38.26671054,24.43988823,69.05484,0,48.99127,269.84113,24.014612,29.88224,16.652605,2.273233,0,0.0
2000-09-01,Greece,38.26671054,24.43988823,308.11334,0,59.49296,198.34993,19.3427,25.143778,13.178829,2.182891,0,0.0
2000-10-01,Greece,38.26671054,24.43988823,1662.1162,0,73.83562,127.78094,14.31713,19.074371,9.876528,2.1365738,0,0.0
2000-11-01,Greece,38.26671054,24.43988823,2399.6836,0,79.3788,93.27809,12.045946,17.428915,7.5120683,2.182854,0,0.0
2000-12-01,Greece,38.26671054,24.43988823,1814.2291,0,77.14568,75.99507,6.9650407,11.553624,2.860393,2.2913148,0,0.0
2001-01-01,Greece,38.26671054,24.43988823,2426.0837,0,81.87653,71.078606,6.3382044,9.838674,3.1526318,2.1415954,0,0.0
2001-02-01,Greece,38.26671054,24.43988823,1505.0035,0,71.34134,120.78569,6.7367663,11.299391,2.4343703,2.3825326,0,0.0
2001-03-01,Greece,38.26671054,24.43988823,619.45807,0,66.17492,168.85057,12.562635,17.837318,7.204413,2.5691948,0,0.0
2001-04-01,Greece,38.26671054,24.43988823,2701.5967,0,67.67969,203.91722,11.900801,16.525045,6.5739775,2.6213052,0,0.0
2001-05-01,Greece,38.26671054,24.43988823,1326.6484,0,64.55287,233.77469,17.462578,22.367779,11.379167,2.4017642,0,0.0
2001-06-01,Greece,38.26671054,24.43988823,259.14334,0,51.896633,292.05164,22.02536,27.22107,14.392135,2.644102,0,0.0
2001-07-01,Greece,38.26671054,24.43988823,407.429,0,53.115353,279.45746,25.35995,30.54423,18.06906,2.5101886,0,0.0
2001-08-01,Greece,38.26671054,24.43988823,378.70325,0,55.99208,252.45734,24.813555,30.3904,18.201942,2.2467835,0,0.0
2001-09-01,Greece,38.26671054,24.43988823,316.74002,0,59.08888,228.71405,20.535345,26.166763,13.833846,2.5118499,0,0.0
2001-10-01,Greece,38.26671054,24.43988823,152.66452,0,62.84092,156.83444,16.325937,22.066135,10.29613,2.2434127,0,0.0
2001-11-01,Greece,38.26671054,24.43988823,2893.0234,0,73.01055,87.607635,8.84539,13.46237,4.5415955,2.5380745,0,0.0
