time,area_name,lat,lon,rr,hu,qq,tg,tx,tn,fg,outbreak,cases
2000-01-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,38.548386,75.83615,81.60355,-0.6661647,3.5650458,-4.728643,1.8170133,0,0.0
2000-02-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,184.73105,74.515076,114.26444,4.1854553,8.252532,0.31817123,2.357218,0,0.0
2000-03-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,116.23548,63.365086,171.23314,5.9502196,11.027428,0.92452043,2.3739455,0,0.0
2000-04-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,205.25667,65.927574,189.83517,13.144276,17.630703,8.685361,2.4305735,0,0.0
2000-05-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,76.98387,63.516903,278.2732,16.785688,21.932968,10.499538,2.1911435,0,0.0
2000-06-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,46.226665,51.65581,280.40527,20.934464,26.415136,14.044179,2.3729208,0,0.0
2000-07-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,0.0,46.219524,302.0872,24.42396,30.30464,17.008013,2.4274895,0,0.0
2000-08-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,22.270967,47.893898,266.5397,23.480806,29.574804,16.638763,2.2755497,0,0.0
2000-09-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,46.47,58.93941,196.5984,18.487778,24.314901,12.618493,2.1975758,0,0.0
2000-10-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,133.58064,74.02,128.44604,13.108117,17.882399,8.709778,2.059886,0,0.0
2000-11-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,81.253334,76.85927,85.484825,10.7309675,16.269323,6.022871,2.1017663,0,0.0
2000-12-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,145.29678,78.2038,66.48297,5.5158954,9.842336,1.6560088,2.1769056,0,0.0
2001-01-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,276.21613,84.09072,62.405342,4.55158,7.8132257,1.6927875,2.0142112,0,0.0
2001-02-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,71.79286,73.42254,114.76823,5.2892385,9.664268,1.2857118,2.4964504,0,0.0
2001-03-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,25.609676,71.52796,157.70612,10.5315075,15.241275,5.932672,2.6358614,0,0.0
2001-04-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,185.44667,70.49441,199.93378,11.234745,15.754676,6.3285403,2.5274875,0,0.0
2001-05-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,184.21613,68.63968,246.3989,16.219141,20.935173,10.624906,2.2738225,0,0.0
2001-06-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,20.873333,56.655293,278.2439,20.513222,25.875814,13.756384,2.4089658,0,0.0
2001-07-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,18.009678,54.890583,279.2051,24.710451,30.11143,18.275848,2.31124,0,0.0
2001-08-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,22.719357,53.051758,256.9753,24.576237,30.333029,18.379303,2.2030723,0,0.0
2001-09-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,107.183334,61.970184,220.96988,19.52463,25.017387,13.505036,2.3017392,0,0.0
2001-10-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,1.4645162,65.58725,149.46896,15.005923,20.77906,9.500352,1.9394095,0,0.0
2001-11-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,157.59,71.06514,85.597694,7.5039535,12.191745,3.3513815,2.4697642,0,0.0
2001-12-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,349.82257,80.755226,55.10256,-0.67147493,2.581666,-3.878242,2.2733047,0,0.0
2002-01-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,82.7871,78.12082,79.812675,1.8287296,6.036618,-1.851713,1.822993,0,0.0
2002-02-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,50.375,68.85283,128.7458,7.1874056,12.9583025,1.9339927,2.4251773,0,0.0
2002-03-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,404.18066,73.30773,151.77664,8.327844,13.008572,4.0658264,2.6442747,0,0.0
2002-04-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,128.14667,74.34731,176.88689,10.43937,14.687771,6.0328093,2.2285419,0,0.0
2002-05-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,53.793552,66.7286,263.75528,16.605526,21.92221,10.742682,2.4508975,0,0.0
2002-06-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,60.996666,58.55384,261.50528,21.842566,27.206549,15.540952,2.3920884,0,0.0
2002-07-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,251.11612,60.76516,270.25586,24.041447,29.407618,18.160082,2.1656113,0,0.0
2002-08-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,89.70968,63.73588,237.2545,22.03393,27.009878,16.694788,2.27404,0,0.0
2002-09-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,394.22,74.62681,179.3993,17.69489,22.596565,12.926366,1.8900723,0,0.0
2002-10-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,357.37097,75.417656,131.28787,13.99775,18.757254,9.343083,2.0200374,0,0.0
2002-11-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,361.73334,81.02933,85.27678,9.948735,14.604186,5.8733745,2.2238505,0,0.0
2002-12-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,430.2226,83.96145,50.556393,3.044645,6.1743493,0.0714839,2.1688545,0,0.0
2003-01-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,359.22583,83.82858,62.644047,4.726084,8.401822,1.2389277,2.1809237,0,0.0
2003-02-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,211.4393,69.17145,103.78842,-0.45430297,3.5644658,-4.1239233,2.821783,0,0.0
2003-03-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,14.3,64.41293,166.21669,4.296354,9.627176,-1.1775395,2.3415492,0,0.0
2003-04-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,199.90666,68.158226,197.36667,8.903137,14.022236,3.658092,2.6044738,0,0.0
2003-05-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,454.4258,67.5974,259.27075,18.337954,24.029074,12.248364,2.393996,0,0.0
2003-06-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,36.859997,60.975464,280.4876,22.44967,27.965742,16.052427,2.1819682,0,0.0
2003-07-01,east_macedonia_and_thrace,41.149883697612026,25.122073662858032,72.37419,55.01638,290.20734,23.488995,28.858135,16.854025,2.1984046,0,0.0
