time,area_name,lat,lon,rr,hu,qq,tg,tx,tn,fg,outbreak,cases
2000-01-01,Italy,41.28321702951927,12.539955424603267,2208.345,69.93256,75.17818,3.199239,7.64932,-0.680537,1.9805837,0,0.0
2000-02-01,Italy,41.28321702951927,12.539955424603267,2541.3965,70.493286,107.92057,5.6634097,10.4953375,1.3275304,2.2362676,0,0.0
2000-03-01,Italy,41.28321702951927,12.539955424603267,6049.439,71.86195,156.64713,8.2509775,13.179962,3.633754,2.5177622,0,0.0
2000-04-01,Italy,41.28321702951927,12.539955424603267,8670.329,78.136055,179.61604,11.885111,16.438293,7.5598416,2.5424433,0,0.0
2000-05-01,Italy,41.28321702951927,12.539955424603267,4312.0938,76.13878,238.9342,17.234241,22.307909,12.184789,2.2555737,0,0.0
2000-06-01,Italy,41.28321702951927,12.539955424603267,4600.83,70.842606,272.36615,20.405237,25.914072,14.788,2.3761587,0,0.0
2000-07-01,Italy,41.28321702951927,12.539955424603267,4922.088,69.28436,268.286,21.021627,26.476068,15.230131,2.6034021,0,0.0
2000-08-01,Italy,41.28321702951927,12.539955424603267,3768.668,70.74172,242.82559,22.886393,29.030085,17.037811,2.0410671,0,0.0
2000-09-01,Italy,41.28321702951927,12.539955424603267,7458.5264,72.04939,181.40767,18.443626,23.87202,13.385351,2.0582845,0,0.0
2000-10-01,Italy,41.28321702951927,12.539955424603267,14536.377,85.07168,99.5458,14.1614065,18.107624,10.562942,1.9987742,0,0.0
2000-11-01,Italy,41.28321702951927,12.539955424603267,19568.227,85.37114,65.00336,9.6610365,13.351912,6.431458,2.218624,0,0.0
2000-12-01,Italy,41.28321702951927,12.539955424603267,8657.822,81.95533,54.402676,6.9393206,10.441156,3.7434528,1.864428,0,0.0
2001-01-01,Italy,41.28321702951927,12.539955424603267,10975.399,82.40447,54.736916,5.679492,8.806331,2.8018703,2.1562808,0,0.0
2001-02-01,Italy,41.28321702951927,12.539955424603267,4194.857,73.06892,106.49796,6.0794525,10.539208,1.9207318,2.5413811,0,0.0
2001-03-01,Italy,41.28321702951927,12.539955424603267,9999.0205,82.063354,132.43709,10.624344,14.779951,6.5543914,2.746356,0,0.0
2001-04-01,Italy,41.28321702951927,12.539955424603267,7059.66,73.49617,195.79747,10.130639,15.0503235,5.4790444,2.6606333,0,0.0
2001-05-01,Italy,41.28321702951927,12.539955424603267,5894.645,76.25564,225.66248,16.789846,21.983782,11.823472,2.367156,0,0.0
2001-06-01,Italy,41.28321702951927,12.539955424603267,4021.2437,66.71598,273.65414,19.107262,24.988256,13.391812,2.6858435,0,0.0
2001-07-01,Italy,41.28321702951927,12.539955424603267,4015.8843,70.75012,267.5435,21.98261,27.854155,16.604984,2.512925,0,0.0
2001-08-01,Italy,41.28321702951927,12.539955424603267,2882.6516,71.10006,245.60202,22.905565,29.062725,17.446655,2.2339916,0,0.0
2001-09-01,Italy,41.28321702951927,12.539955424603267,7436.4067,74.25935,173.58118,16.26364,21.5719,11.534814,2.3545566,0,0.0
2001-10-01,Italy,41.28321702951927,12.539955424603267,3272.8064,81.71028,128.49396,15.854236,21.23704,11.789367,1.947914,0,0.0
2001-11-01,Italy,41.28321702951927,12.539955424603267,6470.5347,73.82107,74.29493,8.46337,12.562348,4.822307,2.500457,0,0.0
2001-12-01,Italy,41.28321702951927,12.539955424603267,3591.3164,67.40933,60.092762,3.0064545,7.026934,-0.6051661,2.3959565,0,0.0
2002-01-01,Italy,41.28321702951927,12.539955424603267,2488.813,71.2377,74.78967,3.6943543,8.342205,-0.6072413,2.1563914,0,0.0
2002-02-01,Italy,41.28321702951927,12.539955424603267,6591.5684,78.81445,94.35674,7.2379,11.33686,3.3413236,2.5611365,0,0.0
2002-03-01,Italy,41.28321702951927,12.539955424603267,2629.6968,69.16797,157.7163,9.809242,14.837664,4.8658695,2.630346,0,0.0
2002-04-01,Italy,41.28321702951927,12.539955424603267,7975.0103,75.181,183.25546,11.093089,15.622493,6.626955,2.4743552,0,0.0
2002-05-01,Italy,41.28321702951927,12.539955424603267,11932.71,76.903244,222.4636,15.538708,20.316986,10.831979,2.485306,0,0.0
2002-06-01,Italy,41.28321702951927,12.539955424603267,4688.353,71.1619,266.11136,20.95374,26.368542,15.501002,2.3457742,0,0.0
2002-07-01,Italy,41.28321702951927,12.539955424603267,7123.546,72.98974,249.83548,21.596615,26.78869,16.573502,2.3265703,0,0.0
2002-08-01,Italy,41.28321702951927,12.539955424603267,10421.508,77.38022,219.2386,20.918316,25.87952,16.08781,2.126054,0,0.0
2002-09-01,Italy,41.28321702951927,12.539955424603267,8623.247,77.14629,160.88092,16.919006,21.56079,12.601357,1.8953363,0,0.0
2002-10-01,Italy,41.28321702951927,12.539955424603267,7188.5327,78.45881,118.10126,13.849286,18.385399,9.559099,2.1325054,0,0.0
2002-11-01,Italy,41.28321702951927,12.539955424603267,16578.812,82.14345,62.695225,10.951456,14.190955,7.8511367,2.4350574,0,0.0
2002-12-01,Italy,41.28321702951927,12.539955424603267,10488.283,82.78528,44.72422,6.508338,9.203542,3.9032693,2.0071776,0,0.0
2003-01-01,Italy,41.28321702951927,12.539955424603267,8475.761,73.219795,65.24301,4.964083,8.285371,1.4447395,2.5379875,0,0.0
2003-02-01,Italy,41.28321702951927,12.539955424603267,3367.0823,62.6424,112.25731,2.5837307,6.89826,-1.839619,2.484449,0,0.0
2003-03-01,Italy,41.28321702951927,12.539955424603267,2020.7806,68.147316,174.04639,8.313745,13.539669,3.2696753,2.2833009,0,0.0
2003-04-01,Italy,41.28321702951927,12.539955424603267,6212.708,70.89227,200.90071,10.662575,15.457687,5.935478,2.7606375,0,0.0
2003-05-01,Italy,41.28321702951927,12.539955424603267,3039.8967,67.884,251.0352,17.628923,23.302969,12.199191,2.4170709,0,0.0
2003-06-01,Italy,41.28321702951927,12.539955424603267,3294.15,66.817825,282.07962,23.148438,29.121305,17.465555,2.2057815,0,0.0
2003-07-01,Italy,41.28321702951927,12.539955424603267,2328.1648,63.759407,280.9633,23.689438,29.56104,18.163445,2.415473,0,0.0
2003-08-01,Italy,41.28321702951927,12.539955424603267,3128.9448,63.24709,242.66907,25.048777,31.20805,19.448639,2.24484,0,0.0
2003-09-01,Italy,41.28321702951927,12.539955424603267,5294.9473,68.782104,180.29947,17.966461,23.140322,13.046086,2.162884,0,0.0
2003-10-01,Italy,41.28321702951927,12.539955424603267,11978.767,76.64498,107.08218,12.932193,16.855648,9.062986,2.465819,0,0.0
2003-11-01,Italy,41.28321702951927,12.539955424603267,12055.733,83.82482,70.40349,10.278147,13.53747,6.9152336,2.0286667,0,0.0
2003-12-01,Italy,41.28321702951927,12.539955424603267,8983.558,72.91064,56.87325,5.8952537,9.192601,2.442525,2.389138,0,0.0
2004-01-01,Italy,41.28321702951927,12.539955424603267,6057.3057,70.65885,62.65186,3.7509747,7.3036337,0.3102644,2.470126,0,0.0
2004-02-01,Italy,41.28321702951927,12.539955424603267,7847.8467,71.68741,92.86808,5.5673113,9.70642,1.7201484,2.4202938,0,0.0
2004-03-01,Italy,41.28321702951927,12.539955424603267,6465.716,69.764145,139.23694,7.1639614,11.457408,3.124298,2.37964,0,0.0
2004-04-01,Italy,41.28321702951927,12.539955424603267,9733.454,74.741554,169.63646,10.898051,15.330604,6.853175,2.5289304,0,0.0
2004-05-01,Italy,41.28321702951927,12.539955424603267,8246.493,70.49557,233.3447,13.586783,18.694065,8.834016,2.5768762,0,0.0
2004-06-01,Italy,41.28321702951927,12.539955424603267,4310.52,66.40437,260.75662,19.389475,24.867197,14.132036,2.4933968,0,0.0
2004-07-01,Italy,41.28321702951927,12.539955424603267,3382.2227,63.440586,271.8846,21.774967,27.854763,16.353176,2.3915923,0,0.0
2004-08-01,Italy,41.28321702951927,12.539955424603267,3468.2097,69.85211,239.648,22.092014,27.920824,16.902464,2.306185,0,0.0
2004-09-01,Italy,41.28321702951927,12.539955424603267,5674.683,70.00922,180.16254,18.46264,23.876825,13.526716,2.0724678,0,0.0
2004-10-01,Italy,41.28321702951927,12.539955424603267,10346.1455,83.03542,103.10282,15.640303,19.818682,11.985533,2.0787446,0,0.0
2004-11-01,Italy,41.28321702951927,12.539955424603267,11911.377,73.29785,68.93314,9.206017,13.07543,5.636276,2.2421558,0,0.0
2004-12-01,Italy,41.28321702951927,12.539955424603267,12485.261,73.229836,51.900463,6.8573823,10.076181,3.6455529,2.1564865,0,0.0
2005-01-01,Italy,41.28321702951927,12.539955424603267,4766.1514,65.28065,73.80932,3.6199203,7.666432,-0.18971832,2.3694143,0,0.0
2005-02-01,Italy,41.28321702951927,12.539955424603267,5759.868,63.454514,98.18316,2.7412374,6.7559395,-1.4155912,2.6365006,0,0.0
2005-03-01,Italy,41.28321702951927,12.539955424603267,4054.2124,69.25876,154.66364,7.375048,12.460979,2.6359808,2.2586775,0,0.0
2005-04-01,Italy,41.28321702951927,12.539955424603267,9592.863,72.31565,191.47577,10.578423,15.310436,6.174757,2.674168,0,0.0
