time,area_name,lat,lon,rr,hu,qq,tg,tx,tn,fg
2000-01-01,0,47.249883639617764,8.44988828575035,1.0612904,84.904884,48.741936,-0.0016129555,2.4667742,-2.1993551,2.5403225
2000-02-01,0,47.249883639617764,8.44988828575035,3.982759,79.58444,78.27586,3.9724138,7.7799997,0.7944827,3.0272417
2000-03-01,0,47.249883639617764,8.44988828575035,2.4612904,72.27135,123.3871,6.064516,10.431289,2.2770967,3.0038707
2000-04-01,0,47.249883639617764,8.44988828575035,1.69,67.339775,175.43333,10.292333,15.740001,5.100667,2.7526665
2000-05-01,0,47.249883639617764,8.44988828575035,3.164516,70.7729,226.41936,15.239354,20.887098,10.281613,2.4
2000-06-01,0,47.249883639617764,8.44988828575035,2.9433334,67.50398,263.73334,18.096998,23.830667,12.723999,2.3153336
2000-07-01,0,47.249883639617764,8.44988828575035,6.33871,77.93456,214.90323,16.004839,20.824839,12.116129,2.7422578
2000-08-01,0,47.249883639617764,8.44988828575035,4.674194,76.35689,211.48387,18.983223,24.642902,14.379678,1.924516
2000-09-01,0,47.249883639617764,8.44988828575035,3.8233333,80.0298,155.96666,15.016333,20.329,10.879999,2.3919997
2000-10-01,0,47.249883639617764,8.44988828575035,2.1548388,86.086075,68.451614,10.246773,13.406773,7.738709,2.1648388
2000-11-01,0,47.249883639617764,8.44988828575035,2.6833332,82.60684,52.133335,5.7760005,9.124,3.021,2.381333
2000-12-01,0,47.249883639617764,8.44988828575035,1.0096775,83.050476,35.64516,3.8251612,6.3635488,1.198387,2.5493548
2001-01-01,0,47.249883639617764,8.44988828575035,3.312903,82.91114,45.70968,1.7332258,4.563548,-0.8835484,2.3777418
2001-02-01,0,47.249883639617764,8.44988828575035,1.7,72.564186,80.92857,3.4346426,7.3849998,-0.1528572,2.925357
2001-03-01,0,47.249883639617764,8.44988828575035,6.8806458,81.38911,98.03226,7.188388,10.978064,4.0932255,3.3606455
2001-04-01,0,47.249883639617764,8.44988828575035,4.8766665,76.03727,158.66667,7.0193334,11.546665,3.3646667,2.8903334
2001-05-01,0,47.249883639617764,8.44988828575035,3.2,71.076836,237.6129,15.649999,21.086128,10.64,2.5119357
2001-06-01,0,47.249883639617764,8.44988828575035,6.5033336,73.691734,238.66667,15.376332,20.540998,10.826666,2.3996668
2001-07-01,0,47.249883639617764,8.44988828575035,4.5,72.32673,243.80646,18.823545,24.273226,13.878063,2.767097
2001-08-01,0,47.249883639617764,8.44988828575035,4.2967744,76.63424,216.74193,19.147097,24.549675,14.705161,2.652258
2001-09-01,0,47.249883639617764,8.44988828575035,5.493333,83.538956,118.73333,11.631332,15.507335,8.789667,3.3393328
2001-10-01,0,47.249883639617764,8.44988828575035,2.4548388,84.89397,105.935486,13.033227,17.762259,9.306775,2.185484
2001-11-01,0,47.249883639617764,8.44988828575035,3.2500002,84.066,52.233334,3.0136666,5.438667,0.76299995,3.7446666
2001-12-01,0,47.249883639617764,8.44988828575035,1.6935484,80.2858,41.935482,0.1483871,2.3938715,-2.5809672,4.838387
2002-01-01,0,47.249883639617764,8.44988828575035,0.7516129,82.47218,53.064518,0.5722579,3.7235484,-2.198065,3.0177417
2002-02-01,0,47.249883639617764,8.44988828575035,3.7428572,74.97868,67.42857,5.4864283,9.186071,2.0975,5.6492853
2002-03-01,0,47.249883639617764,8.44988828575035,1.816129,68.80227,145.7742,7.1458063,12.172258,2.63129,3.6987097
2002-04-01,0,47.249883639617764,8.44988828575035,2.26,66.995926,183.9,8.976,14.350667,4.3680005,3.5803337
2002-05-01,0,47.249883639617764,8.44988828575035,5.3677416,73.644936,202.74193,13.18387,18.31484,8.628063,2.906451
2002-06-01,0,47.249883639617764,8.44988828575035,4.1633334,69.53094,256.03333,19.273335,25.189003,13.866333,2.1853335
2002-07-01,0,47.249883639617764,8.44988828575035,4.3645163,73.97887,219.41936,18.264835,23.485481,13.905807,1.7419354
2002-08-01,0,47.249883639617764,8.44988828575035,4.596774,79.697815,194.16129,17.71645,22.630968,13.910321,1.363871
2002-09-01,0,47.249883639617764,8.44988828575035,4.36,83.05329,141.46666,12.954333,17.160334,9.658332,1.3506666
2002-10-01,0,47.249883639617764,8.44988828575035,3.883871,80.6777,88.870964,10.050645,14.160646,6.7483864,1.667742
2002-11-01,0,47.249883639617764,8.44988828575035,6.1400013,87.60949,41.233334,6.6113324,9.082666,4.278667,1.5836666
2002-12-01,0,47.249883639617764,8.44988828575035,2.387097,86.55259,27.903225,3.8548388,5.5854836,2.2300003,1.7767743
2003-01-01,0,47.249883639617764,8.44988828575035,1.9387096,81.49531,43.258064,0.23903227,2.7119353,-2.1303227,2.4829035
2003-02-01,0,47.249883639617764,8.44988828575035,1.3535715,77.58929,92.67857,-1.5839283,1.687857,-4.608571,1.6489285
2003-03-01,0,47.249883639617764,8.44988828575035,1.2903225,63.52492,163.25807,7.3212905,13.446452,2.0012906,1.6525806
2003-04-01,0,47.249883639617764,8.44988828575035,1.6966667,63.371254,200.66667,9.2960005,15.214,4.0863333,2.03
2003-05-01,0,47.249883639617764,8.44988828575035,3.512903,73.07184,210.64516,14.711936,19.894518,10.232257,1.6206449
2003-06-01,0,47.249883639617764,8.44988828575035,3.0633337,65.026695,280.9,22.37733,28.935995,16.656668,1.5993333
2003-07-01,0,47.249883639617764,8.44988828575035,3.4967742,67.99986,250.0,19.834192,25.64,14.753871,1.573871
2003-08-01,0,47.249883639617764,8.44988828575035,2.2774193,62.306034,233.96774,22.599676,29.31935,16.668386,1.431613
2003-09-01,0,47.249883639617764,8.44988828575035,1.5966667,75.14082,172.2,14.499331,20.354668,9.832334,1.451
2003-10-01,0,47.249883639617764,8.44988828575035,4.480645,84.36919,85.51613,6.6748376,10.3090315,3.506129,1.8238708
2003-11-01,0,47.249883639617764,8.44988828575035,2.243333,87.47839,51.933334,5.4593334,8.766001,2.5310004,1.1906667
2003-12-01,0,47.249883639617764,8.44988828575035,1.2225807,82.851074,39.64516,1.2809675,4.3177423,-1.7261289,1.7906449
2004-01-01,0,47.249883639617764,8.44988828575035,4.506452,83.24243,40.225807,1.1183871,3.4335485,-1.2835485,2.3000002
2004-02-01,0,47.249883639617764,8.44988828575035,1.351724,74.50554,85.793106,1.8851722,6.0948267,-1.6665515,1.8796555
2004-03-01,0,47.249883639617764,8.44988828575035,2.132258,72.43007,136.06451,4.3493547,8.983225,0.26258054,1.8187097
2004-04-01,0,47.249883639617764,8.44988828575035,1.8333334,66.342026,185.36667,9.613998,14.868668,4.4673333,2.028333
2004-05-01,0,47.249883639617764,8.44988828575035,4.8774195,70.12053,217.74193,12.04387,17.285807,6.808387,1.7199998
2004-06-01,0,47.249883639617764,8.44988828575035,4.94,74.15319,225.86667,16.276003,21.213331,11.697665,1.6253332
2004-07-01,0,47.249883639617764,8.44988828575035,3.5548387,73.83226,224.64516,18.044516,23.353552,13.583225,1.6158065
2004-08-01,0,47.249883639617764,8.44988828575035,2.7064517,74.82743,197.03226,18.73226,24.160326,14.515807,1.6551614
2004-09-01,0,47.249883639617764,8.44988828575035,2.3733335,77.87147,151.23334,15.255332,20.238335,11.173999,1.6310003
2004-10-01,0,47.249883639617764,8.44988828575035,3.6064515,85.72604,81.129036,11.535806,15.329678,8.561613,1.2722579
2004-11-01,0,47.249883639617764,8.44988828575035,0.5833333,82.91067,44.766666,4.314,7.0196657,1.6703333,1.6633337
2004-12-01,0,47.249883639617764,8.44988828575035,1.5903226,85.97885,33.83871,0.72967744,2.7648387,-0.9925806,1.7112902
2005-01-01,0,47.249883639617764,8.44988828575035,1.4258065,80.57357,53.0,0.1551613,3.5345159,-2.8583872,2.1341937
2005-02-01,0,47.249883639617764,8.44988828575035,2.010714,79.95122,78.67857,-1.1332142,1.8310713,-3.8799994,1.8096429
2005-03-01,0,47.249883639617764,8.44988828575035,1.367742,72.32934,141.83871,5.513226,10.541613,0.86580646,1.5845158
2005-04-01,0,47.249883639617764,8.44988828575035,4.226667,71.51215,164.13333,9.494,14.319001,5.005,1.8286667
2005-05-01,0,47.249883639617764,8.44988828575035,3.6741939,71.95803,220.90323,13.801613,19.39581,8.634192,1.673871
2005-06-01,0,47.249883639617764,8.44988828575035,2.9233334,65.99756,260.9,18.460665,24.487669,12.950333,1.613
2005-07-01,0,47.249883639617764,8.44988828575035,3.9612906,74.55843,219.51613,18.357418,23.633224,13.828063,1.6712903
2005-08-01,0,47.249883639617764,8.44988828575035,7.1967745,79.609406,185.67741,16.278387,21.026451,12.332903,1.5941937
2005-09-01,0,47.249883639617764,8.44988828575035,1.9133335,79.25302,153.83333,15.702665,20.414331,11.876001,1.3759999
2005-10-01,0,47.249883639617764,8.44988828575035,2.5387099,85.27637,99.0,10.880644,15.325483,7.5270963,0.9403226
2005-11-01,0,47.249883639617764,8.44988828575035,0.9633333,82.92385,55.533333,3.962666,7.1239996,1.0766671,1.4886667
2005-12-01,0,47.249883639617764,8.44988828575035,2.0870967,83.26627,35.967743,-0.26645166,1.6761286,-2.6648388,1.6429033
2006-01-01,0,47.249883639617764,8.44988828575035,0.57741934,84.076645,53.258064,-1.9025806,0.4245161,-3.9748383,1.4012903
2006-02-01,0,47.249883639617764,8.44988828575035,1.8035715,79.709946,67.07143,0.33464283,2.9796424,-2.075357,1.7796427
2006-03-01,0,47.249883639617764,8.44988828575035,5.0709677,76.21909,121.645164,3.235484,7.6041923,-0.5029033,2.3793547
2006-04-01,0,47.249883639617764,8.44988828575035,5.64,75.94096,167.9,8.785,13.683667,4.5303335,1.5773333
2006-05-01,0,47.249883639617764,8.44988828575035,5.0096774,73.1955,204.29033,13.382902,18.530964,9.038709,1.8977422
2006-06-01,0,47.249883639617764,8.44988828575035,2.1233337,68.73445,265.6,17.771002,23.98633,12.417999,1.5266666
2006-07-01,0,47.249883639617764,8.44988828575035,1.5774194,65.02855,277.3871,22.467745,29.096773,16.768063,1.5848385
2006-08-01,0,47.249883639617764,8.44988828575035,6.683871,81.129524,164.74193,14.868386,19.277737,11.610968,1.6864516
2006-09-01,0,47.249883639617764,8.44988828575035,3.5600002,80.70949,157.7,17.010336,21.900663,13.061998,1.2383331
2006-10-01,0,47.249883639617764,8.44988828575035,1.7193549,82.83389,102.129036,12.795485,17.198063,9.077098,1.2729032
2006-11-01,0,47.249883639617764,8.44988828575035,1.3100001,81.0899,58.4,6.9079995,10.819,3.1866667,1.4279999
2006-12-01,0,47.249883639617764,8.44988828575035,2.0741935,84.54362,43.129032,2.3551614,5.065806,-0.1722582,1.5235482
2007-01-01,0,47.249883639617764,8.44988828575035,1.7741934,80.446815,43.935482,4.1590314,6.99387,1.2219356,2.3087094
2007-02-01,0,47.249883639617764,8.44988828575035,2.575,79.08776,82.57143,4.5732145,8.833928,0.7975,1.7910713
2007-03-01,0,47.249883639617764,8.44988828575035,3.2483873,75.667885,141.7742,5.6580644,10.71871,1.3548387,1.812258
2007-04-01,0,47.249883639617764,8.44988828575035,0.25,59.87665,246.46666,13.785998,20.535667,7.156333,1.4369999
