time,area_name,lat,lon,rr,hu,qq,tg,tx,tn,fg,outbreak,cases
2000-01-01,United_Kingdom,52.84166795914305,-2.32006248749123,2185.813,85.14752,28.523687,4.515813,7.844456,1.729327,4.476891,0,0.0
2000-02-01,United_Kingdom,52.84166795914305,-2.32006248749123,4588.3203,82.04906,53.57512,5.882923,9.079001,2.8352945,5.4522066,0,0.0
2000-03-01,United_Kingdom,52.84166795914305,-2.32006248749123,1696.3291,78.936646,93.20348,7.1273394,10.829905,3.57606,4.39911,0,0.0
2000-04-01,United_Kingdom,52.84166795914305,-2.32006248749123,6642.387,81.55902,138.43893,7.609706,11.781872,3.8704932,3.9550917,0,0.0
2000-05-01,United_Kingdom,52.84166795914305,-2.32006248749123,4094.6035,78.45339,202.9189,11.644873,16.315535,7.401926,3.7418175,0,0.0
2000-06-01,United_Kingdom,52.84166795914305,-2.32006248749123,2353.03,77.68858,201.45496,14.346119,18.963932,10.364637,3.7080798,0,0.0
2000-07-01,United_Kingdom,52.84166795914305,-2.32006248749123,3006.8906,79.59033,190.02808,14.812811,19.215029,10.794201,3.1660368,0,0.0
2000-08-01,United_Kingdom,52.84166795914305,-2.32006248749123,2993.1807,79.58886,177.23883,16.359447,20.995647,11.7151985,3.135411,0,0.0
2000-09-01,United_Kingdom,52.84166795914305,-2.32006248749123,6050.44,84.88553,111.85868,14.4154825,18.396166,10.732138,3.5893383,0,0.0
2000-10-01,United_Kingdom,52.84166795914305,-2.32006248749123,8283.948,84.0668,62.25973,10.091205,13.213504,6.8939776,4.436325,0,0.0
2000-11-01,United_Kingdom,52.84166795914305,-2.32006248749123,8203.701,86.28839,34.456192,6.6472864,9.693453,3.8874676,4.6203117,0,0.0
2000-12-01,United_Kingdom,52.84166795914305,-2.32006248749123,5858.4673,85.56847,20.971489,5.455361,7.7984886,3.194405,4.904677,0,0.0
2001-01-01,United_Kingdom,52.84166795914305,-2.32006248749123,3471.468,86.62851,30.540443,3.2191741,5.888069,0.57022166,3.7777815,0,0.0
2001-02-01,United_Kingdom,52.84166795914305,-2.32006248749123,4915.8643,84.43054,56.198826,4.0957127,7.9069753,0.83684593,3.8770006,0,0.0
2001-03-01,United_Kingdom,52.84166795914305,-2.32006248749123,4167.9556,83.50432,85.314156,4.92178,8.688524,1.8172917,4.0980515,0,0.0
2001-04-01,United_Kingdom,52.84166795914305,-2.32006248749123,4708.2236,79.11552,145.32707,7.4446244,11.218984,3.744777,4.349461,0,0.0
2001-05-01,United_Kingdom,52.84166795914305,-2.32006248749123,1978.7001,74.91566,219.0569,12.034734,17.258108,7.285649,3.582697,0,0.0
2001-06-01,United_Kingdom,52.84166795914305,-2.32006248749123,2110.4534,73.6162,218.37978,13.744865,18.57495,9.312141,3.7217515,0,0.0
2001-07-01,United_Kingdom,52.84166795914305,-2.32006248749123,3260.674,76.81737,203.82332,16.698408,21.346195,12.278129,3.5394442,0,0.0
2001-08-01,United_Kingdom,52.84166795914305,-2.32006248749123,4054.8193,80.32793,172.98581,16.5874,20.93752,12.304135,3.3487358,0,0.0
2001-09-01,United_Kingdom,52.84166795914305,-2.32006248749123,3880.5005,82.48966,112.89655,13.118133,16.637037,9.610257,4.271871,0,0.0
2001-10-01,United_Kingdom,52.84166795914305,-2.32006248749123,6031.042,85.569305,68.83155,13.174197,16.194763,10.266091,4.7199345,0,0.0
2001-11-01,United_Kingdom,52.84166795914305,-2.32006248749123,2878.1897,84.92867,36.20305,7.006711,10.994976,3.6444247,3.8708062,0,0.0
2001-12-01,United_Kingdom,52.84166795914305,-2.32006248749123,2007.7356,84.99224,26.98256,3.2682896,6.851961,0.36904275,3.936706,0,0.0
2002-01-01,United_Kingdom,52.84166795914305,-2.32006248749123,3868.8127,87.01379,27.105902,5.243991,8.714655,2.4151533,4.74698,0,0.0
2002-02-01,United_Kingdom,52.84166795914305,-2.32006248749123,6837.586,81.10242,53.46157,6.535135,9.888624,3.5882726,6.509713,0,0.0
2002-03-01,United_Kingdom,52.84166795914305,-2.32006248749123,2245.7903,79.90142,100.114815,7.251708,11.388211,3.455884,4.4082932,0,0.0
