timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-11-15 19:41:04,France_level_2_final,"k-Nearest Neighbors (tuned:{""n_neighbors"": 5, ""weights"": ""distance"", ""p"": 1})",Month+1,0.21,2005-01-01,2024-12-31,2022-01-01,0.929,0.723,1.0,0.616,0.794,0.762,180,76,69,0
2025-11-15 19:41:04,France_level_2_final,"k-Nearest Neighbors (tuned:{""n_neighbors"": 5, ""weights"": ""distance"", ""p"": 1})",Month+2,0.21,2005-01-01,2024-12-31,2022-01-01,0.912,0.687,0.994,0.571,0.768,0.742,171,75,78,1
2025-11-15 19:41:04,France_level_2_final,"k-Nearest Neighbors (tuned:{""n_neighbors"": 5, ""weights"": ""distance"", ""p"": 1})",Month+3,0.21,2005-01-01,2024-12-31,2022-01-01,0.896,0.663,0.982,0.528,0.742,0.724,165,73,84,3
2025-11-15 19:41:04,France_level_2_final,"k-Nearest Neighbors (tuned:{""n_neighbors"": 5, ""weights"": ""distance"", ""p"": 1})",Month+4,0.21,2005-01-01,2024-12-31,2022-01-01,0.883,0.651,0.97,0.495,0.713,0.71,162,71,87,5
2025-11-15 19:41:04,France_level_2_final,"k-Nearest Neighbors (tuned:{""n_neighbors"": 5, ""weights"": ""distance"", ""p"": 1})",Month+5,0.22,2005-01-01,2024-12-31,2022-01-01,0.872,0.643,0.958,0.466,0.693,0.697,160,69,89,7
2025-11-15 19:41:04,France_level_2_final,"k-Nearest Neighbors (tuned:{""n_neighbors"": 5, ""weights"": ""distance"", ""p"": 1})",Month+6,0.41,2005-01-01,2024-12-31,2022-01-01,0.853,0.633,0.935,0.417,0.677,0.677,157,66,91,11
2025-11-15 19:41:23,France_level_2_final,"SVC (RBF Kernel) (tuned:{""C"": 0.5, ""gamma"": ""scale""})",Month+1,0.07,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.931,0.729,1.0,0.626,0.946,0.769,180,78,67,0
2025-11-15 19:41:23,France_level_2_final,"SVC (RBF Kernel) (tuned:{""C"": 0.5, ""gamma"": ""scale""})",Month+2,0.08,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.914,0.692,0.994,0.581,0.928,0.749,171,77,76,1
2025-11-15 19:41:23,France_level_2_final,"SVC (RBF Kernel) (tuned:{""C"": 0.5, ""gamma"": ""scale""})",Month+3,0.1,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.895,0.66,0.982,0.523,0.874,0.72,165,72,85,3
2025-11-15 19:41:23,France_level_2_final,"SVC (RBF Kernel) (tuned:{""C"": 0.5, ""gamma"": ""scale""})",Month+4,0.11,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.882,0.648,0.97,0.49,0.809,0.707,162,70,88,5
2025-11-15 19:41:23,France_level_2_final,"SVC (RBF Kernel) (tuned:{""C"": 0.5, ""gamma"": ""scale""})",Month+5,0.19,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.871,0.64,0.958,0.461,0.759,0.694,160,68,90,7
2025-11-15 19:41:23,France_level_2_final,"SVC (RBF Kernel) (tuned:{""C"": 0.5, ""gamma"": ""scale""})",Month+6,0.28,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.853,0.633,0.935,0.417,0.706,0.677,157,66,91,11
2025-11-15 19:42:02,France_level_2_final,"Logistic Regression (tuned:{""penalty"": ""l1"", ""C"": 0.1})",Month+1,0.26,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.947,0.783,1.0,0.716,0.914,0.828,180,95,50,0
2025-11-15 19:42:02,France_level_2_final,"Logistic Regression (tuned:{""penalty"": ""l1"", ""C"": 0.1})",Month+2,0.43,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.939,0.783,0.988,0.722,0.873,0.841,170,106,47,2
2025-11-15 19:42:02,France_level_2_final,"Logistic Regression (tuned:{""penalty"": ""l1"", ""C"": 0.1})",Month+3,0.56,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.912,0.78,0.952,0.689,0.818,0.833,160,112,45,8
2025-11-15 19:42:02,France_level_2_final,"Logistic Regression (tuned:{""penalty"": ""l1"", ""C"": 0.1})",Month+4,0.58,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.866,0.74,0.904,0.588,0.756,0.784,151,105,53,16
2025-11-15 19:42:02,France_level_2_final,"Logistic Regression (tuned:{""penalty"": ""l1"", ""C"": 0.1})",Month+5,0.7,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.813,0.693,0.85,0.468,0.713,0.726,142,95,63,25
2025-11-15 19:42:02,France_level_2_final,"Logistic Regression (tuned:{""penalty"": ""l1"", ""C"": 0.1})",Month+6,0.76,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.766,0.646,0.804,0.347,0.673,0.666,135,83,74,33
2025-11-15 19:43:01,France_level_2_final,"Linear SVM (Calibrated) (tuned:{""C"": 0.25})",Month+1,0.23,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.957,0.818,1.0,0.77,0.944,0.862,180,105,40,0
2025-11-15 19:43:01,France_level_2_final,"Linear SVM (Calibrated) (tuned:{""C"": 0.25})",Month+2,0.25,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.935,0.769,0.988,0.701,0.9,0.828,170,102,51,2
2025-11-15 19:43:01,France_level_2_final,"Linear SVM (Calibrated) (tuned:{""C"": 0.25})",Month+3,0.26,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.894,0.717,0.952,0.593,0.841,0.776,160,94,63,8
2025-11-15 19:43:01,France_level_2_final,"Linear SVM (Calibrated) (tuned:{""C"": 0.25})",Month+4,0.24,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.852,0.653,0.922,0.452,0.769,0.702,154,76,82,13
2025-11-15 19:43:01,France_level_2_final,"Linear SVM (Calibrated) (tuned:{""C"": 0.25})",Month+5,0.26,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.839,0.627,0.916,0.393,0.72,0.67,153,67,91,14
2025-11-15 19:43:01,France_level_2_final,"Linear SVM (Calibrated) (tuned:{""C"": 0.25})",Month+6,0.26,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.832,0.598,0.923,0.323,0.671,0.63,155,53,104,13
2025-11-15 19:43:03,France_level_2_final,"RidgeClassifier (Calibrated) (tuned:{""alpha"": 0.1})",Month+1,0.09,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.968,0.857,1.0,0.825,0.945,0.897,180,115,30,0
2025-11-15 19:43:03,France_level_2_final,"RidgeClassifier (Calibrated) (tuned:{""alpha"": 0.1})",Month+2,0.16,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.953,0.833,0.988,0.791,0.914,0.883,170,119,34,2
2025-11-15 19:43:03,France_level_2_final,"RidgeClassifier (Calibrated) (tuned:{""alpha"": 0.1})",Month+3,0.2,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.912,0.78,0.952,0.689,0.857,0.833,160,112,45,8
2025-11-15 19:43:03,France_level_2_final,"RidgeClassifier (Calibrated) (tuned:{""alpha"": 0.1})",Month+4,0.25,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.857,0.725,0.898,0.559,0.79,0.769,150,101,57,17
2025-11-15 19:43:03,France_level_2_final,"RidgeClassifier (Calibrated) (tuned:{""alpha"": 0.1})",Month+5,0.3,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.825,0.673,0.874,0.451,0.734,0.712,146,87,71,21
2025-11-15 19:43:03,France_level_2_final,"RidgeClassifier (Calibrated) (tuned:{""alpha"": 0.1})",Month+6,0.34,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.794,0.64,0.845,0.361,0.676,0.668,142,77,80,26
