timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-11-21 13:13:56,France_level_2_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+1,0.21,2005-01-01,2024-12-31,2022-01-01,0.964,0.841,1.0,0.802,0.955,0.883,180,111,34,0
2025-11-21 13:13:56,France_level_2_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+2,0.3,2005-01-01,2024-12-31,2022-01-01,0.944,0.802,0.988,0.748,0.906,0.857,170,111,42,2
2025-11-21 13:13:56,France_level_2_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+3,0.36,2005-01-01,2024-12-31,2022-01-01,0.907,0.762,0.952,0.662,0.832,0.817,160,107,50,8
2025-11-21 13:13:56,France_level_2_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+4,0.21,2005-01-01,2024-12-31,2022-01-01,0.851,0.689,0.904,0.505,0.783,0.737,151,90,68,16
2025-11-21 13:13:56,France_level_2_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+5,0.16,2005-01-01,2024-12-31,2022-01-01,0.885,0.656,0.97,0.506,0.73,0.716,162,73,85,5
2025-11-21 13:13:56,France_level_2_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+6,0.2,2005-01-01,2024-12-31,2022-01-01,0.873,0.644,0.958,0.464,0.676,0.696,161,68,89,7
2025-11-21 13:26:22,France_level_2_final,Ensemble (mean weight) top 10 models_TH_auto_equal_weight,Month+1,0.2,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.962,0.833,1.0,0.791,0.955,0.876,180,109,36,0
2025-11-21 13:26:22,France_level_2_final,Ensemble (mean weight) top 10 models_TH_auto_equal_weight,Month+2,0.38,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.949,0.817,0.988,0.77,0.906,0.87,170,115,38,2
2025-11-21 13:26:22,France_level_2_final,Ensemble (mean weight) top 10 models_TH_auto_equal_weight,Month+3,0.37,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.907,0.762,0.952,0.662,0.832,0.817,160,107,50,8
2025-11-21 13:26:22,France_level_2_final,Ensemble (mean weight) top 10 models_TH_auto_equal_weight,Month+4,0.39,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.854,0.714,0.898,0.542,0.784,0.759,150,98,60,17
