timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-11-21 15:44:06,Italy_level_3_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+1,0.33,2005-01-01,2024-12-31,2022-01-01,0.906,0.881,0.912,0.894,0.997,0.955,52,2589,7,5
2025-11-21 15:44:06,Italy_level_3_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+2,0.16,2005-01-01,2024-12-31,2022-01-01,0.782,0.64,0.828,0.721,0.978,0.909,48,2568,27,10
2025-11-21 15:44:06,Italy_level_3_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+3,0.34,2005-01-01,2024-12-31,2022-01-01,0.554,0.656,0.533,0.581,0.888,0.763,40,2557,21,35
2025-11-21 15:44:06,Italy_level_3_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+4,0.43,2005-01-01,2024-12-31,2022-01-01,0.455,0.524,0.44,0.466,0.819,0.714,33,2548,30,42
2025-11-21 15:44:06,Italy_level_3_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+5,0.4,2005-01-01,2024-12-31,2022-01-01,0.382,0.382,0.382,0.363,0.775,0.682,29,2530,47,47
2025-11-21 15:44:06,Italy_level_3_final,Ensemble (mean weight) top 9 models_TH_auto_equal_weight,Month+6,0.18,2005-01-01,2024-12-31,2022-01-01,0.35,0.141,0.554,0.241,0.751,0.729,41,2330,249,33
2025-11-21 18:22:12,Italy_level_3_final,Ensemble (mean weight) top 10 models_TH_auto_equal_weight,Month+1,0.36,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.906,0.881,0.912,0.894,0.997,0.955,52,2589,7,5
2025-11-21 18:22:12,Italy_level_3_final,Ensemble (mean weight) top 10 models_TH_auto_equal_weight,Month+2,0.13,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.777,0.623,0.828,0.711,0.977,0.908,48,2566,29,10
2025-11-21 18:22:12,Italy_level_3_final,Ensemble (mean weight) top 10 models_TH_auto_equal_weight,Month+3,0.35,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.545,0.672,0.52,0.581,0.887,0.756,39,2559,19,36
2025-11-21 18:22:12,Italy_level_3_final,Ensemble (mean weight) top 10 models_TH_auto_equal_weight,Month+4,0.37,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.458,0.55,0.44,0.479,0.818,0.715,33,2551,27,42
2025-11-21 18:22:12,Italy_level_3_final,Ensemble (mean weight) top 10 models_TH_auto_equal_weight,Month+5,0.26,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.401,0.308,0.434,0.344,0.776,0.703,33,2503,74,43
2025-11-21 18:22:12,Italy_level_3_final,Ensemble (mean weight) top 10 models_TH_auto_equal_weight,Month+6,0.2,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.362,0.179,0.486,0.263,0.753,0.711,36,2414,165,38
2025-11-21 21:36:52,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+1,0.63,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.88,0.893,0.877,0.882,0.996,0.937,50,2590,6,7
2025-11-21 21:36:52,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+2,0.34,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.771,0.75,0.776,0.757,0.971,0.885,45,2580,15,13
2025-11-21 21:36:52,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+3,0.24,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.549,0.625,0.533,0.566,0.876,0.762,40,2554,24,35
2025-11-21 21:36:52,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+4,0.33,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.453,0.516,0.44,0.462,0.812,0.714,33,2547,31,42
2025-11-21 21:36:52,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+5,0.12,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.361,0.177,0.487,0.26,0.763,0.71,37,2405,172,39
2025-11-21 21:36:52,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+6,0.18,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.314,0.157,0.419,0.223,0.742,0.677,31,2413,166,43
2025-11-21 22:13:27,Italy_level_3_final,Ensemble (mean weight) top 11 models_TH_auto_equal_weight,Month+1,0.59,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.906,0.881,0.912,0.894,0.997,0.955,52,2589,7,5
2025-11-21 22:13:27,Italy_level_3_final,Ensemble (mean weight) top 11 models_TH_auto_equal_weight,Month+2,0.19,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.783,0.691,0.81,0.742,0.975,0.901,47,2574,21,11
2025-11-21 22:13:27,Italy_level_3_final,Ensemble (mean weight) top 11 models_TH_auto_equal_weight,Month+3,0.31,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.557,0.678,0.533,0.591,0.882,0.763,40,2559,19,35
2025-11-21 22:13:27,Italy_level_3_final,Ensemble (mean weight) top 11 models_TH_auto_equal_weight,Month+4,0.32,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.458,0.479,0.453,0.451,0.814,0.719,34,2541,37,41
2025-11-21 22:13:27,Italy_level_3_final,Ensemble (mean weight) top 11 models_TH_auto_equal_weight,Month+5,0.24,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.424,0.264,0.5,0.338,0.77,0.729,38,2471,106,38
2025-11-21 22:13:27,Italy_level_3_final,Ensemble (mean weight) top 11 models_TH_auto_equal_weight,Month+6,0.21,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.352,0.156,0.514,0.247,0.752,0.717,38,2373,206,36
2025-11-22 01:20:58,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+1,0.69,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.88,0.893,0.877,0.882,0.996,0.937,50,2590,6,7
2025-11-22 01:20:58,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+2,0.34,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.768,0.738,0.776,0.751,0.971,0.885,45,2579,16,13
2025-11-22 01:20:58,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+3,0.34,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.543,0.661,0.52,0.576,0.88,0.756,39,2558,20,36
2025-11-22 01:20:58,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+4,0.21,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.446,0.346,0.48,0.387,0.817,0.727,36,2510,68,39
2025-11-22 01:20:58,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+5,0.16,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.36,0.202,0.447,0.271,0.769,0.698,34,2443,134,42
2025-11-22 01:20:58,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+6,0.14,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.31,0.135,0.459,0.211,0.747,0.687,34,2361,218,40
2025-11-22 02:02:16,Italy_level_3_final,Ensemble (mean weight) top 12 models_TH_auto_equal_weight,Month+1,0.61,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.909,0.897,0.912,0.902,0.997,0.955,52,2590,6,5
2025-11-22 02:02:16,Italy_level_3_final,Ensemble (mean weight) top 12 models_TH_auto_equal_weight,Month+2,0.18,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.778,0.671,0.81,0.731,0.969,0.901,47,2572,23,11
2025-11-22 02:02:16,Italy_level_3_final,Ensemble (mean weight) top 12 models_TH_auto_equal_weight,Month+3,0.33,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.559,0.69,0.533,0.597,0.876,0.763,40,2560,18,35
2025-11-22 02:02:16,Italy_level_3_final,Ensemble (mean weight) top 12 models_TH_auto_equal_weight,Month+4,0.25,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.47,0.394,0.493,0.422,0.809,0.736,37,2521,57,38
2025-11-22 02:02:16,Italy_level_3_final,Ensemble (mean weight) top 12 models_TH_auto_equal_weight,Month+5,0.28,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.413,0.315,0.447,0.353,0.762,0.709,34,2503,74,42
2025-11-22 02:02:16,Italy_level_3_final,Ensemble (mean weight) top 12 models_TH_auto_equal_weight,Month+6,0.12,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.289,0.092,0.622,0.188,0.75,0.723,46,2125,454,28
2025-11-22 05:55:26,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+1,0.63,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.88,0.893,0.877,0.882,0.996,0.937,50,2590,6,7
2025-11-22 05:55:26,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+2,0.34,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.771,0.75,0.776,0.757,0.971,0.885,45,2580,15,13
2025-11-22 05:55:26,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+3,0.24,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.549,0.625,0.533,0.566,0.877,0.762,40,2554,24,35
2025-11-22 05:55:26,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+4,0.3,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.451,0.5,0.44,0.455,0.812,0.714,33,2545,33,42
2025-11-22 05:55:26,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+5,0.18,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.354,0.216,0.421,0.273,0.763,0.688,32,2461,116,44
2025-11-22 05:55:26,Italy_level_3_final,Ensemble (mean weight) top 13 models_TH_auto_equal_weight,Month+6,0.18,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.316,0.159,0.419,0.224,0.742,0.678,31,2415,164,43
2025-11-22 09:56:35,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+1,0.690,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.880,0.893,0.877,0.882,0.996,0.937,50,2590,6,7
2025-11-22 09:56:35,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+2,0.340,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.768,0.738,0.776,0.751,0.971,0.885,45,2579,16,13
2025-11-22 09:56:35,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+3,0.340,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.543,0.661,0.520,0.576,0.880,0.756,39,2558,20,36
2025-11-22 09:56:35,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+4,0.220,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.443,0.368,0.467,0.396,0.817,0.722,35,2518,60,40
2025-11-22 09:56:35,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+5,0.180,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.359,0.212,0.434,0.274,0.769,0.693,33,2454,123,43
2025-11-22 09:56:35,Italy_level_3_final,Ensemble (mean weight) top 14 models_TH_auto_equal_weight,Month+6,0.160,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.308,0.143,0.432,0.212,0.746,0.679,32,2387,192,42
