timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-11-19 17:50:44,Italy_level_3_final,k-Nearest Neighbors,Month+1,0.5,2005-01-01,2024-12-31,2022-01-01,0.797,0.701,0.825,0.755,0.953,0.908,47,2576,20,10
2025-11-19 17:50:44,Italy_level_3_final,k-Nearest Neighbors,Month+2,0.5,2005-01-01,2024-12-31,2022-01-01,0.69,0.631,0.707,0.66,0.916,0.849,41,2571,24,17
2025-11-19 17:50:44,Italy_level_3_final,k-Nearest Neighbors,Month+3,0.5,2005-01-01,2024-12-31,2022-01-01,0.483,0.565,0.467,0.5,0.802,0.728,35,2551,27,40
2025-11-19 17:50:44,Italy_level_3_final,k-Nearest Neighbors,Month+4,0.5,2005-01-01,2024-12-31,2022-01-01,0.444,0.533,0.427,0.464,0.8,0.708,32,2550,28,43
2025-11-19 17:50:44,Italy_level_3_final,k-Nearest Neighbors,Month+5,0.5,2005-01-01,2024-12-31,2022-01-01,0.401,0.5,0.382,0.422,0.786,0.685,29,2548,29,47
2025-11-19 17:50:44,Italy_level_3_final,k-Nearest Neighbors,Month+6,0.5,2005-01-01,2024-12-31,2022-01-01,0.385,0.491,0.365,0.409,0.778,0.677,27,2551,28,47
2025-11-19 18:00:41,Italy_level_3_final,SVC (RBF Kernel),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.762,0.796,0.754,0.77,0.987,0.875,43,2585,11,14
2025-11-19 18:00:41,Italy_level_3_final,SVC (RBF Kernel),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.669,0.731,0.655,0.685,0.94,0.825,38,2581,14,20
2025-11-19 18:00:41,Italy_level_3_final,SVC (RBF Kernel),Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.47,0.647,0.44,0.523,0.763,0.717,33,2560,18,42
2025-11-19 18:00:41,Italy_level_3_final,SVC (RBF Kernel),Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.443,0.62,0.413,0.495,0.741,0.703,31,2559,19,44
2025-11-19 18:00:41,Italy_level_3_final,SVC (RBF Kernel),Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.397,0.571,0.368,0.446,0.774,0.68,28,2556,21,48
2025-11-19 18:00:41,Italy_level_3_final,SVC (RBF Kernel),Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.378,0.542,0.351,0.424,0.723,0.671,26,2557,22,48
2025-11-19 18:22:40,Italy_level_3_final,Logistic Regression,Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.868,0.833,0.877,0.852,0.968,0.937,50,2586,10,7
2025-11-19 18:22:40,Italy_level_3_final,Logistic Regression,Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.753,0.733,0.759,0.74,0.885,0.876,44,2579,16,14
2025-11-19 18:22:40,Italy_level_3_final,Logistic Regression,Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.529,0.644,0.507,0.56,0.736,0.749,38,2557,21,37
2025-11-19 18:22:40,Italy_level_3_final,Logistic Regression,Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.44,0.44,0.44,0.424,0.639,0.712,33,2536,42,42
2025-11-19 18:22:40,Italy_level_3_final,Logistic Regression,Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.336,0.227,0.382,0.267,0.589,0.672,29,2478,99,47
2025-11-19 18:22:40,Italy_level_3_final,Logistic Regression,Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.29,0.159,0.365,0.208,0.554,0.655,27,2436,143,47
2025-11-19 18:22:58,Italy_level_3_final,Linear SVM (Calibrated),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.868,0.833,0.877,0.852,0.973,0.937,50,2586,10,7
2025-11-19 18:22:58,Italy_level_3_final,Linear SVM (Calibrated),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.756,0.746,0.759,0.747,0.89,0.876,44,2580,15,14
2025-11-19 18:22:58,Italy_level_3_final,Linear SVM (Calibrated),Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.471,0.66,0.44,0.528,0.751,0.717,33,2561,17,42
2025-11-19 18:22:58,Italy_level_3_final,Linear SVM (Calibrated),Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.348,0.533,0.32,0.4,0.643,0.656,24,2557,21,51
2025-11-19 18:22:58,Italy_level_3_final,Linear SVM (Calibrated),Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.262,0.45,0.237,0.313,0.604,0.614,18,2555,22,58
2025-11-19 18:22:58,Italy_level_3_final,Linear SVM (Calibrated),Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.199,0.419,0.176,0.258,0.566,0.584,13,2561,18,61
2025-11-19 18:22:59,Italy_level_3_final,RidgeClassifier (Calibrated),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.807,0.807,0.807,0.803,0.93,0.901,46,2585,11,11
2025-11-19 18:22:59,Italy_level_3_final,RidgeClassifier (Calibrated),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.724,0.724,0.724,0.718,0.832,0.859,42,2579,16,16
2025-11-19 18:22:59,Italy_level_3_final,RidgeClassifier (Calibrated),Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.503,0.621,0.48,0.534,0.727,0.736,36,2556,22,39
2025-11-19 18:22:59,Italy_level_3_final,RidgeClassifier (Calibrated),Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.447,0.552,0.427,0.472,0.623,0.708,32,2552,26,43
2025-11-19 18:22:59,Italy_level_3_final,RidgeClassifier (Calibrated),Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.387,0.483,0.368,0.407,0.615,0.678,28,2547,30,48
2025-11-19 18:22:59,Italy_level_3_final,RidgeClassifier (Calibrated),Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.32,0.458,0.297,0.355,0.59,0.644,22,2553,26,52
2025-11-19 18:23:32,Italy_level_3_final,Random Forest,Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.903,0.867,0.912,0.887,0.97,0.955,52,2588,8,5
