timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-11-19 17:50:43,Italy_level_3_final,k-Nearest Neighbors,Month+1,0.5,2005-01-01,2024-12-31,2022-01-01,0.187,0.692,0.158,0.325,0.746,0.578,9,2592,4,48
2025-11-19 17:50:43,Italy_level_3_final,k-Nearest Neighbors,Month+2,0.5,2005-01-01,2024-12-31,2022-01-01,0.123,0.5,0.103,0.22,0.703,0.551,6,2589,6,52
2025-11-19 17:50:43,Italy_level_3_final,k-Nearest Neighbors,Month+3,0.5,2005-01-01,2024-12-31,2022-01-01,0.08,0.417,0.067,0.158,0.611,0.532,5,2571,7,70
2025-11-19 17:50:43,Italy_level_3_final,k-Nearest Neighbors,Month+4,0.5,2005-01-01,2024-12-31,2022-01-01,0.048,0.214,0.04,0.082,0.594,0.518,3,2567,11,72
2025-11-19 17:50:43,Italy_level_3_final,k-Nearest Neighbors,Month+5,0.5,2005-01-01,2024-12-31,2022-01-01,0.046,0.15,0.039,0.063,0.561,0.516,3,2560,17,73
2025-11-19 17:50:43,Italy_level_3_final,k-Nearest Neighbors,Month+6,0.5,2005-01-01,2024-12-31,2022-01-01,0.031,0.074,0.027,0.028,0.539,0.509,2,2554,25,72
2025-11-19 18:04:32,Italy_level_3_final,SVC (RBF Kernel),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.142,0.389,0.123,0.209,0.796,0.559,7,2585,11,50
2025-11-19 18:04:32,Italy_level_3_final,SVC (RBF Kernel),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.119,0.286,0.103,0.161,0.756,0.549,6,2580,15,52
2025-11-19 18:04:32,Italy_level_3_final,SVC (RBF Kernel),Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.061,0.148,0.053,0.073,0.725,0.522,4,2555,23,71
2025-11-19 18:04:32,Italy_level_3_final,SVC (RBF Kernel),Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.045,0.081,0.04,0.038,0.697,0.513,3,2544,34,72
2025-11-19 18:04:32,Italy_level_3_final,SVC (RBF Kernel),Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.014,0.019,0.013,-0.009,0.642,0.496,1,2524,53,75
2025-11-19 18:04:32,Italy_level_3_final,SVC (RBF Kernel),Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.013,0.011,0.014,-0.02,0.622,0.489,1,2486,93,73
2025-11-19 18:13:03,Italy_level_3_final,Logistic Regression,Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.302,0.094,0.684,0.215,0.894,0.769,39,2218,378,18
2025-11-19 18:13:03,Italy_level_3_final,Logistic Regression,Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.24,0.066,0.707,0.167,0.82,0.742,41,2014,581,17
2025-11-19 18:13:03,Italy_level_3_final,Logistic Regression,Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.223,0.063,0.613,0.129,0.712,0.674,46,1892,686,29
2025-11-19 18:13:03,Italy_level_3_final,Logistic Regression,Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.207,0.056,0.64,0.115,0.673,0.663,48,1768,810,27
2025-11-19 18:13:03,Italy_level_3_final,Logistic Regression,Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.188,0.049,0.645,0.095,0.626,0.638,49,1626,951,27
