timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-11-17 23:48:19,France_level_3_final,k-Nearest Neighbors,Month+1,0.21,2005-01-01,2024-12-31,2022-01-01,0.929,0.723,1.0,0.761,0.913,0.901,810,1254,311,0
2025-11-17 23:48:19,France_level_3_final,k-Nearest Neighbors,Month+2,0.29,2005-01-01,2024-12-31,2022-01-01,0.912,0.682,0.996,0.726,0.902,0.887,765,1251,356,3
2025-11-17 23:48:19,France_level_3_final,k-Nearest Neighbors,Month+3,0.29,2005-01-01,2024-12-31,2022-01-01,0.889,0.646,0.981,0.685,0.885,0.869,724,1240,397,14
2025-11-17 23:48:19,France_level_3_final,k-Nearest Neighbors,Month+4,0.25,2005-01-01,2024-12-31,2022-01-01,0.861,0.621,0.953,0.642,0.864,0.847,697,1218,426,34
2025-11-17 23:48:19,France_level_3_final,k-Nearest Neighbors,Month+5,0.34,2005-01-01,2024-12-31,2022-01-01,0.833,0.601,0.922,0.601,0.841,0.825,676,1194,448,57
2025-11-17 23:48:19,France_level_3_final,k-Nearest Neighbors,Month+6,0.34,2005-01-01,2024-12-31,2022-01-01,0.808,0.584,0.893,0.561,0.82,0.803,661,1164,471,79
2025-11-17 23:51:24,France_level_3_final,SVC (RBF Kernel),Month+1,0.05,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.943,0.769,1.0,0.806,0.981,0.922,810,1322,243,0
2025-11-17 23:51:24,France_level_3_final,SVC (RBF Kernel),Month+2,0.15,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.937,0.759,0.996,0.8,0.969,0.922,765,1364,243,3
2025-11-17 23:51:24,France_level_3_final,SVC (RBF Kernel),Month+3,0.21,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.911,0.721,0.976,0.755,0.941,0.903,720,1358,279,18
2025-11-17 23:51:24,France_level_3_final,SVC (RBF Kernel),Month+4,0.12,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.858,0.665,0.925,0.669,0.906,0.859,676,1303,341,55
