timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
16/11/2025 13:31,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+1,0.34,01/01/2005,31/12/2024,01/01/2022,0.945,0.776,1,0.705,0.934,0.821,180,93,52,0
16/11/2025 13:31,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+2,0.33,01/01/2005,31/12/2024,01/01/2022,0.929,0.749,0.988,0.67,0.909,0.808,170,96,57,2
16/11/2025 13:31,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+3,0.33,01/01/2005,31/12/2024,01/01/2022,0.894,0.717,0.952,0.593,0.823,0.776,160,94,63,8
16/11/2025 13:31,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+4,0.37,01/01/2005,31/12/2024,01/01/2022,0.853,0.711,0.898,0.536,0.767,0.756,150,97,61,17
16/11/2025 13:31,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+5,0.26,01/01/2005,31/12/2024,01/01/2022,0.86,0.641,0.94,0.445,0.719,0.692,157,70,88,10
16/11/2025 13:31,France_level_2_final,Ensemble (mean weight) top 3 models_TH_auto_not_equal_weight,Month+6,0.22,01/01/2005,31/12/2024,01/01/2022,0.867,0.629,0.958,0.432,0.668,0.677,161,62,95,7
16/11/2025 13:33,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+1,0.25,01/01/2005 00:00,31/12/2024 00:00,01/01/2022 00:00,0.951,0.796,1,0.737,0.941,0.841,180,99,46,0
16/11/2025 13:33,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+2,0.32,01/01/2005 00:00,31/12/2024 00:00,01/01/2022 00:00,0.932,0.759,0.988,0.685,0.904,0.818,170,99,54,2
16/11/2025 13:33,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+3,0.35,01/01/2005 00:00,31/12/2024 00:00,01/01/2022 00:00,0.898,0.731,0.952,0.615,0.83,0.788,160,98,59,8
16/11/2025 13:33,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+4,0.36,01/01/2005 00:00,31/12/2024 00:00,01/01/2022 00:00,0.851,0.704,0.898,0.525,0.773,0.75,150,95,63,17
16/11/2025 13:33,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+5,0.26,01/01/2005 00:00,31/12/2024 00:00,01/01/2022 00:00,0.864,0.642,0.946,0.453,0.725,0.695,158,70,88,9
16/11/2025 13:33,France_level_2_final,Ensemble (mean weight) top 4 models_TH_auto_not_equal_weight,Month+6,0.34,01/01/2005 00:00,31/12/2024 00:00,01/01/2022 00:00,0.829,0.632,0.899,0.383,0.667,0.669,151,69,88,17
