timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
11/16/2025 18:20,France_level_2_final,k-Nearest Neighbors,Month+1,0.16,1/1/2005,12/31/2024,1/1/2022,0.925,0.711,1,0.594,0.794,0.748,180,72,73,0
11/16/2025 18:20,France_level_2_final,k-Nearest Neighbors,Month+2,0.15,1/1/2005,12/31/2024,1/1/2022,0.909,0.676,0.994,0.551,0.768,0.729,171,71,82,1
11/16/2025 18:20,France_level_2_final,k-Nearest Neighbors,Month+3,0.17,1/1/2005,12/31/2024,1/1/2022,0.897,0.656,0.988,0.522,0.742,0.717,166,70,87,2
11/16/2025 18:20,France_level_2_final,k-Nearest Neighbors,Month+4,0.16,1/1/2005,12/31/2024,1/1/2022,0.885,0.644,0.976,0.489,0.713,0.703,163,68,90,4
11/16/2025 18:20,France_level_2_final,k-Nearest Neighbors,Month+5,0.16,1/1/2005,12/31/2024,1/1/2022,0.878,0.635,0.97,0.464,0.693,0.691,162,65,93,5
11/16/2025 18:20,France_level_2_final,k-Nearest Neighbors,Month+6,0.16,1/1/2005,12/31/2024,1/1/2022,0.871,0.628,0.964,0.436,0.677,0.676,162,61,96,6
11/16/2025 18:20,France_level_2_final,SVC (RBF Kernel),Month+1,0.14,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.936,0.744,1,0.653,0.946,0.786,180,83,62,0
11/16/2025 18:20,France_level_2_final,SVC (RBF Kernel),Month+2,0.1,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.911,0.694,0.988,0.577,0.928,0.749,170,78,75,2
11/16/2025 18:20,France_level_2_final,SVC (RBF Kernel),Month+3,0.07,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.895,0.66,0.982,0.523,0.874,0.72,165,72,85,3
11/16/2025 18:20,France_level_2_final,SVC (RBF Kernel),Month+4,0.09,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.882,0.648,0.97,0.49,0.809,0.707,162,70,88,5
11/16/2025 18:20,France_level_2_final,SVC (RBF Kernel),Month+5,0.11,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.871,0.64,0.958,0.461,0.759,0.694,160,68,90,7
11/16/2025 18:20,France_level_2_final,SVC (RBF Kernel),Month+6,0.13,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.864,0.63,0.952,0.428,0.706,0.677,160,63,94,8
11/16/2025 18:20,France_level_2_final,Logistic Regression,Month+1,0.69,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.978,0.9,1,0.881,0.914,0.931,180,125,20,0
11/16/2025 18:20,France_level_2_final,Logistic Regression,Month+2,0.23,1/1/2005 0:00,12/31/2024 0:00,1/1/2022 0:00,0.934,0.766,0.988,0.696,0.873,0.824,170,101,52,2
